Id,,dG [kcal/mol] mean
A1770_out_frst.sdf,,-9.100002807
A1771_out_frst.sdf,,-9.243462304
A1774_out_frst.sdf,,-8.622256351
A1775_out_frst.sdf,,-8.060086155
A1776_out_frst.sdf,,-9.107998763
A1777_out_frst.sdf,,-9.373963421
A1781_out_frst.sdf,,-8.375703744
A1782_out_frst.sdf,,-6.936911467
A1783_out_frst.sdf,,-7.371721581
A1789_out_frst.sdf,,-9.815008981
A1793_out_frst.sdf,,-9.594673388
A1801_out_frst.sdf,,-9.01996572
A1802_out_frst.sdf,,-7.025015412
A1805_out_frst.sdf,,-7.548044147
A1809_out_frst.sdf,,-10.01027027
A1812_out_frst.sdf,,-10.4798431
A1817_out_frst.sdf,,-9.354551462
A1821_out_frst.sdf,,-9.998332388
A1822_out_frst.sdf,,-9.576159157
A1824_out_frst.sdf,,-7.940338274
A1827_out_frst.sdf,,-10.17539221
A1829_out_frst.sdf,,-8.521392478
A1831_out_frst.sdf,,-8.493958814
A1835_out_frst.sdf,,-8.771770314
A1838_out_frst.sdf,,-8.202918291
A1839_out_frst.sdf,,-9.786734789
A1845_out_frst.sdf,,-7.093401074
A1853_out_frst.sdf,,-8.285622995
A1856_out_frst.sdf,,-9.405322368
A1866_out_frst.sdf,,-9.139146842
A1870_out_frst.sdf,,-9.476140778
A1873_out_frst.sdf,,-8.492395745
A1876_out_frst.sdf,,-10.13913521
A1877_out_frst.sdf,,-10.26397389
A1878_out_frst.sdf,,-8.183713245
A1881_out_frst.sdf,,-8.497546782
A1882_out_frst.sdf,,-9.687607792
A1886_out_frst.sdf,,-10.88831086
A1887_out_frst.sdf,,-9.619952764
A1888_out_frst.sdf,,-8.864343677
A1893_out_frst.sdf,,-10.1588878
A1894_out_frst.sdf,,-9.129503397
A1896_out_frst.sdf,,-8.113313719
A1903_out_frst.sdf,,-8.512059862
A1904_out_frst.sdf,,-10.55832484
A1907_out_frst.sdf,,-8.934826888
A1908_out_frst.sdf,,-10.33536394
A1912_out_frst.sdf,,-9.228067589
A1914_out_frst.sdf,,-11.01215728
A1265_out_frst.sdf,,-9.903048829
A1267_out_frst.sdf,,-9.779180799
A1271_out_frst.sdf,,-9.922324133
A1272_out_frst.sdf,,-9.421345271
A1278_out_frst.sdf,,-7.540410059
A1284_out_frst.sdf,,-7.255340685
A1289_out_frst.sdf,,-7.419391271
A1291_out_frst.sdf,,-8.797045367
A1294_out_frst.sdf,,-9.113304295
